A,B,C,D
1,14,2.32,162.14
2,23,12.04,270.05
3,6,22.28,66.08
4,11,32.01,126.24
5,24,42.22,282.23
6,8,51.99,90.29
7,6,62.13,66.36
8,6,72.13,66.2
9,24,82.01,282.08
10,23,92.35,269.99
11,0,102.01,-5.74
12,16,112.16,186.24
13,15,122.22,174.14
14,25,132.34,294.17
15,3,142.1,30.01
16,21,152.19,246.35
17,12,162.25,138.1
18,2,172.23,18.17
19,24,182.08,282.2
20,35,192.23,414.17
21,28,202.23,330.12
22,16,212.31,186.31
23,34,222.06,402.15
24,11,232.24,126.03
25,22,242.19,258.08
26,18,252,210.29
27,15,262.12,174.08
28,19,272.14,222.34
29,38,282.31,450.36
30,12,292.26,138.13
31,23,302.14,269.99
32,37,312.23,438.24
33,30,322.09,354.25
34,0,332.12,-5.89
35,37,342.27,438.24
36,7,352.37,78.27
37,38,362.12,450.01
38,1,372.23,6.1
39,29,382.13,342.03
40,19,392.25,222.23
41,34,402,402.31
42,27,412.37,318.08
43,6,422.2,66.2
44,33,432.12,390.34
45,38,442.09,450.23
46,24,452.17,282.22
47,13,462.07,150.28
48,9,472,102.05
49,13,482.29,150.2
50,10,492,113.99
51,35,502.35,414.01
52,28,512.14,330.01
53,39,522.2,462.15
54,13,532.05,150.29
55,9,542.03,102
56,27,552.2,318.11
57,3,562.25,30.13
58,34,572.26,402.15
59,1,581.99,5.99
60,16,592.09,186.01
61,17,602.36,198.3
62,21,612.17,246.07
63,24,622.16,282.21
64,1,632.29,6.29
65,24,642.3,282.26
66,26,652.17,306.08
67,32,662.21,378.36
68,7,672.07,78.24
69,24,682,282.18
70,25,692.16,294.21
71,21,702.34,246.2
72,13,712.15,149.99
73,14,722.31,162.09
74,38,732.24,450.32
75,21,742.08,246.24
76,9,752.26,102.36
77,20,762.18,234.11
78,10,772.25,114.12
79,28,782.02,330.14
80,8,792.19,90.33
81,32,802,378.21
82,6,812.06,66.3
83,7,822.12,78.23
84,10,832.02,114.01
85,4,842.23,42.03
86,22,852.25,258.23
87,12,862.05,138.04
88,25,872.07,294.23
89,39,882.35,462.19
90,16,892.04,186.01
91,3,902.28,30.35
92,26,912.34,306.35
93,18,922.01,210.1
94,35,932.03,414.06
95,30,942.07,354.32
96,35,952.29,414.19
97,20,962.02,234.18
98,18,972.19,210.27
99,36,982.11,426.24
100,17,992.19,198.22
